,Number_Tra,num_pole,num_bus,num_subway,num_Encross,num_tree,pop,Vol,NonPed_D,TrafDir_A,TrafDir_T,RW_TYPE_10,RW_TYPE_3,RW_TYPE_4,RW_TYPE_6,RW_TYPE_7,RW_TYPE_8,RW_TYPE_9,BikeLane_1,BikeLane_11,BikeLane_2,BikeLane_3,BikeLane_4,num_ecollisions_B,num_pedS
72,2,0,0,0,0,6,53094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2,0,0,0,0,3,53094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2,0,0,0,0,3,51064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2,0,0,0,0,2,51064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2,0,0,0,0,0,53094,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,0,0,0,0,2,59869,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,0,0,0,0,2,59869,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2,0,0,0,0,0,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3,0,0,0,0,0,59869,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,3,0,0,0,0,0,62810,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
82,1,0,0,0,0,0,62810,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
83,1,0,0,0,0,3,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2,0,0,0,0,3,62810,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
86,1,0,0,0,0,0,62810,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
87,1,0,0,0,0,0,62810,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,0,0,0,0,0,0,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,0,0,0,0,0,62810,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
90,2,0,0,0,0,3,86117,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,3,0,0,0,0,0,62810,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
92,1,0,0,0,0,17,62810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2,0,0,0,0,0,53094,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1,0,0,0,0,0,23673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,23673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,23673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,23673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,23673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,62810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,0,0,0,0,0,62810,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
101,1,0,0,0,0,1,53094,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,0,0,0,0,4,53094,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2,0,0,0,0,0,53094,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
104,2,0,0,0,0,0,53094,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,0,0,0,0,0,0,62810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,62810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2,0,0,0,0,0,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,4,0,0,0,0,7,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,4,0,1,0,0,3,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,4,0,0,0,0,1,59869,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111,1,0,0,0,0,11,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,1,0,0,0,0,11,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2,0,0,0,0,4,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2,0,0,0,0,5,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,4,0,1,0,0,7,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116,2,0,0,0,0,5,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2,0,0,0,0,4,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,0,0,0,0,9,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1,1,0,0,0,8,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,0,0,0,0,9,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,4,0,0,0,0,11,59869,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
122,1,0,0,0,0,5,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,1,0,0,0,0,7,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,1,1,0,0,0,10,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
125,2,0,0,0,0,22,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1,0,0,0,0,6,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,3,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1,0,0,0,0,0,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1,0,0,0,0,0,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2,0,0,0,0,5,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2,0,0,0,0,6,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2,0,0,0,0,0,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
133,2,0,0,0,0,0,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,4,0,0,0,0,2,62810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,4,0,0,0,0,1,62810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,4,0,0,0,0,2,62810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,4,0,0,0,0,1,62810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
138,4,0,0,0,0,1,62810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
