Id,Reservation Date,Franchisee Name ,Status,Installation Date,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zone,On street,Cross street 1,Cross street 2,Park Advisory,Historic Landmark Advisory,Scenic Landmark Advisory,BID Advisory,School Advisory,Zipcode,Community Board,Council District
18175,01/02/2018,Crown Castle NG,Installed,07/30/2019,UTILITY,Queens,1033727,160261,40.6064176,-73.8218136,B,Shad Creek Rd,W 10th Rd,W 9th Rd,,,,,,11693,414,32
18173,01/02/2018,Crown Castle NG,Installed,07/30/2019,UTILITY,Queens,1034110,157670,40.5993037,-73.8204534,B,Cross Bay Blvd,W 19th Rd,E 20th Rd,,,,,,11693,414,32
18159,12/29/2017,Crown Castle NG,Installed,10/28/2020,UTILITY,Brooklyn,1001504,198501,40.7114993,-73.9377635,B,Waterbury St,Ten Eyck St,Maujer St,,,,,,11206,301,34
18158,12/29/2017,Crown Castle NG,Approved,,UTILITY,Queens,1009635,196060,40.7047797,-73.9084436,B,Onderdonk Ave,Linden St,Grove St,,,,,,11385,405,34
18157,12/29/2017,Crown Castle NG,Installed,12/11/2019,UTILITY,Brooklyn,1006210,195770,40.7039929,-73.9207976,B,Hart St,Irving Ave,Wyckoff Ave,,,,,,11237,304,34
18156,12/29/2017,Crown Castle NG,Installed,12/11/2019,UTILITY,Brooklyn,1007099,195595,40.7035103,-73.9175918,B,Stanhope St,Wyckoff Ave,St Nicholas Ave,,,,,,11237,304,37
18155,12/29/2017,Crown Castle NG,Installed,01/10/2020,UTILITY,Brooklyn,1006444,195141,40.7022659,-73.9199557,B,Irving Ave,Stockholm St,Stanhope St,,,,,,11237,304,37
18154,12/29/2017,Crown Castle NG,Installed,07/20/2020,UTILITY,Queens,1008643,195016,40.701917,-73.9120253,B,St Nicholas Ave,Grove St,Linden St,,,,,,11385,405,34
18153,12/29/2017,Crown Castle NG,Approved,,UTILITY,Brooklyn,989505,195475,40.7032089,-73.9810472,B,Hudson Ave,Evans St,Plymouth St,,Vinegar Hill Historic District,,,,11201,302,33
18152,12/29/2017,Crown Castle NG,Installed,03/20/2020,UTILITY,Queens,1021035,190084,40.688337,-73.8673598,B,Eldert Lane,88th Road,90th Ave,,,,,,11421,409,30
18151,12/29/2017,Crown Castle NG,Installed,12/11/2019,UTILITY,Brooklyn,1016246,188234,40.6832777,-73.8846369,B,Linwood St,Ridgewood Ave,Jamaica Ave,,,,,,11208,305,37
18150,12/29/2017,Crown Castle NG,Installed,12/20/2019,UTILITY,Brooklyn,1018939,184810,40.6738695,-73.8749448,B,Fountain Ave,Belmont Ave,Pitkin Ave,,,,,,11208,305,42
18149,12/29/2017,Crown Castle NG,Installed,01/22/2020,UTILITY,Brooklyn,1021482,184720,40.6736121,-73.8657777,B,Sutter Ave,Sheridan Ave,Lincoln Ave,,,,,,11208,305,42
18148,12/29/2017,Crown Castle NG,Installed,06/16/2020,UTILITY,Brooklyn,1008747,181666,40.665274,-73.9116987,C,Blake Ave,Bristol St,Thomas S Boyland St,"Betsy Head Park,",,,,,11212,316,41
18147,12/29/2017,Crown Castle NG,Approved,,UTILITY,Brooklyn,1016370,185178,40.6748893,-73.8842043,B,Glenmore Ave,Cleveland St,Elton St,,,,,,11208,305,37
18145,12/29/2017,Crown Castle NG,Approved,,UTILITY,Brooklyn,1008679,179317,40.6588267,-73.9119523,C,Amboy St,Newport St,Lott Ave,,,,,,11212,316,42
18144,12/29/2017,Crown Castle NG,Approved,,UTILITY,Brooklyn,1009912,178788,40.6573712,-73.9075104,C,Rockaway Ave,Lott Ave,Hegeman Ave,,,,,,11212,316,42
18143,12/29/2017,Crown Castle NG,Installed,10/27/2020,UTILITY,Brooklyn,1003310,179092,40.6582223,-73.9313041,B,Winthrop St,Utica Ave,E 49th St,,,,,,11203,309,41
18142,12/29/2017,Crown Castle NG,Approved,,UTILITY,Brooklyn,1008778,176891,40.6521676,-73.9116044,B,E 96th St,Avenue B,Ditmas Ave,,,,,,11236,317,42
18141,12/29/2017,Crown Castle NG,Approved,,UTILITY,Brooklyn,1009119,176403,40.6508272,-73.9103772,B,Ditmas Ave,E 96th St,E 95th St,,,,,,11236,317,42
18139,12/29/2017,Crown Castle NG,Installed,12/17/2019,UTILITY,Brooklyn,1004074,176858,40.6520888,-73.928557,B,Church Ave,E 52nd St,E 151st St,,,,,,11203,317,41
18137,12/29/2017,Crown Castle NG,Approved,,UTILITY,Brooklyn,1004805,172396,40.6398399,-73.9259362,B,Kings Hwy,Foster Ave,E 53rd St,,,,,,11203,317,45
18136,12/29/2017,Crown Castle NG,Approved,,UTILITY,Brooklyn,1009266,171579,40.6375859,-73.9098654,B,Flatlands Ave,E 85th St,E 84th St,,,,,,11236,318,46
